Image,Title,Author,Price,ASIN,ISBN13,Rank,AvgRating,Reviews,Ratings
"=Image(""http://ecx.images-amazon.com/images/I/511acRH3B5L._SL75_.jpg"")","CompTIA Security+ All-in-One Exam Guide, Second Edition (Exam SY0-201)",Gregory White,$59.99,0071601279,9780071601276,32014,3.50,6,4
"=Image(""http://ecx.images-amazon.com/images/I/51VH1P9rL2L._SL75_.jpg"")","The Architecture of Computer Hardware, Systems Software, & Networking: An Information Technology Approach",Irv Englander,,0471715425,9780471715429,129609,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/61DggjkFQHL._SL75_.jpg"")",Grace (Eventually): Thoughts on Faith,Anne Lamott,$34.95,B001G7R6C6,,108995,,,
"=Image(""http://ecx.images-amazon.com/images/I/41rL8AY1lmL._SL75_.jpg"")","Your Google Game Plan for Success: Increasing Your Web Presence with Google AdWords, Analytics and Website Optimizer",Joe Teixeira,$29.99,0470641649,9780470641644,270370,3.50,5,2
"=Image(""http://ecx.images-amazon.com/images/I/51jCi66W34L._SL75_.jpg"")",The Steve Jobs Way: iLeadership for a New Generation,Jay Elliot,$25.99,1593156391,9781593156398,31971,3.56,10,2
"=Image(""http://ecx.images-amazon.com/images/I/51fyBAxiAHL._SL75_.jpg"")",Security+ Guide to Network Security Fundamentals,Mark Ciampa,$132.95,1428340661,9781428340664,41955,4.00,8,4
"=Image(""http://ecx.images-amazon.com/images/I/51BqseA75xL._SL75_.jpg"")",CompTIA Security+ Study Guide: Exam SY0-301,Emmett Dulaney,$49.99,1118014731,9781118014738,12921,0.0,1,0
"=Image(""http://ecx.images-amazon.com/images/I/51NTWFgAAbL._SL75_.jpg"")",Computer Systems: A Programmer's Perspective (2nd Edition),Randal E. Bryant,$119.00,0136108040,9780136108047,27214,3.74,12,3
"=Image(""http://ecx.images-amazon.com/images/I/51H3BMN861L._SL75_.jpg"")","SPARC Architecture, Assembly Language Programming, and C (2nd Edition)",Richard Paul,$126.00,0130255963,9780130255969,237686,3.00,1,1
"=Image(""http://ecx.images-amazon.com/images/I/5195X4F-6VL._SL75_.jpg"")",How to Do Everything Microsoft SharePoint 2010,Stephen Cawood,$24.99,0071743677,9780071743679,19752,2.00,4,1
"=Image(""http://ecx.images-amazon.com/images/I/21TtWRh3XpL._SL75_.jpg"")",PCI Express System Architecture,Mindshare Inc.,$86.99,0321156307,9780321156303,196856,0.0,6,0
,Web Analytics for Digital Marketers,Casey Carey,$39.99,0789748363,9780789748362,2561264,,,
"=Image(""http://ecx.images-amazon.com/images/I/51rSgdzs+BL._SL75_.jpg"")",Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin Mitnick,$25.99,0316037702,9780316037709,20176,3.50,211,4
"=Image(""http://ecx.images-amazon.com/images/I/51WS6ABSEBL._SL75_.jpg"")","Takedown: The Pursuit and Capture of Kevin Mitnick, America's Most Wanted Computer Outlaw-By the Man Who Did It",Tsutomu Shimomura,$24.95,0786862106,9780786862108,826266,3.12,15,5
"=Image(""http://ecx.images-amazon.com/images/I/41zSCtF-sYL._SL75_.jpg"")",Apache Security,Ivan Ristic,$34.95,0596007248,9780596007249,321135,3.67,22,6
"=Image(""http://ecx.images-amazon.com/images/I/41WAcFTSxKL._SL75_.jpg"")",Management Information Systems (11th Edition),Ken Laudon,$212.00,013607846X,9780136078463,8928,3.15,8,2
"=Image(""http://ecx.images-amazon.com/images/I/51w4JxHy8tL._SL75_.jpg"")",Building a Web 2.0 Portal with ASP.Net 3.5: None,Omar AL Zabir,$44.99,0596510500,9780596510503,405739,3.40,10,5
"=Image(""http://ecx.images-amazon.com/images/I/41a3H+32nyL._SL75_.jpg"")","Guide to Operating Systems, Enhanced Edition",Michael Palmer,$133.95,1418837199,9781418837198,119665,3.00,2,1
"=Image(""http://ecx.images-amazon.com/images/I/51tOnTHMZ0L._SL75_.jpg"")","PHP Objects, Patterns and Practice (Expert's Voice in Open Source)",Matt Zandstra,$44.99,143022925X,9781430229254,37571,4.62,21,8
"=Image(""http://ecx.images-amazon.com/images/I/511+BX9R6XL._SL75_.jpg"")",USB Mass Storage: Designing and Programming Devices and Embedded Hosts,Jan Axelson,$29.95,1931448043,9781931448048,238523,0.0,2,0
"=Image(""http://ecx.images-amazon.com/images/I/512oNIZgB9L._SL75_.jpg"")",C++ All-In-One Desk Reference For Dummies,John Paul Mueller,$39.99,0470317353,9780470317358,90928,5.00,3,1
"=Image(""http://ecx.images-amazon.com/images/I/515Qc6lN4GL._SL75_.jpg"")",How Computers Work: Processor And Main Memory (Second Edition),Roger Young,$4.47,1442113987,9781442113985,47430,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/41IGTSvGYqL._SL75_.jpg"")",The Art of Public Speaking with Connect Lucas,Stephen Lucas,,0077306295,9780077306298,1637,0.0,7,0
"=Image(""http://ecx.images-amazon.com/images/I/31YmJ-1BA6L._SL75_.jpg"")",Embedded Microcomputer Systems: Real Time Interfacing,Jonathan W. Valvano,$213.95,0534551629,9780534551629,549055,4.00,4,2
"=Image(""http://ecx.images-amazon.com/images/I/51gSFojEXrL._SL75_.jpg"")",Excel 2007 Power Programming with VBA (Mr. Spreadsheet's Bookshelf),John Walkenbach,$49.99,0470044012,9780470044018,7086,3.68,18,4
"=Image(""http://ecx.images-amazon.com/images/I/51owquEc7YL._SL75_.jpg"")",The Photoshop Elements 9 Book for Digital Photographers (Voices That Matter),Scott Kelby,$49.99,0321741331,9780321741332,1209,4.75,13,4
"=Image(""http://ecx.images-amazon.com/images/I/41JKM615IML._SL75_.jpg"")",ARM System Developer's Guide: Designing and Optimizing System Software (The Morgan Kaufmann Series in Computer Architecture and Design),Andrew Sloss,$86.95,1558608745,9781558608740,271910,4.67,13,3
"=Image(""http://ecx.images-amazon.com/images/I/51OkODqnOZL._SL75_.jpg"")",Corduroy Mansions: A Corduroy Mansions Novel (1),Alexander Mccall Smith,$15.00,0307476502,9780307476500,2049,3.42,23,7
"=Image(""http://ecx.images-amazon.com/images/I/51L-ySVyUlL._SL75_.jpg"")",CompTIA Network+ Study Guide: Exam N10-004,Todd Lammle,$49.99,0470427477,9780470427477,6962,4.00,7,3
"=Image(""http://ecx.images-amazon.com/images/I/41LWK9E5a9L._SL75_.jpg"")",Pragmatic Unit Testing in Java with JUnit,Andy Hunt,$29.95,0974514012,9780974514017,276299,3.37,72,38
"=Image(""http://ecx.images-amazon.com/images/I/41QfpQPndzL._SL75_.jpg"")",NurtureShock: New Thinking About Children,Po Bronson,$24.99,B0054U5ENY,,165796,,,
"=Image(""http://ecx.images-amazon.com/images/I/51i2QobQjFL._SL75_.jpg"")",Content Management for Dynamic Web Delivery,JoAnn T. Hackos,$65.00,0471085863,9780471085867,547328,3.50,5,2
"=Image(""http://ecx.images-amazon.com/images/I/4152NIXcFgL._SL75_.jpg"")",Dreamweaver CS5: The Missing Manual,David Sawyer McFarland,$49.99,1449381812,9781449381813,7106,0.0,9,0
"=Image(""http://ecx.images-amazon.com/images/I/412Kji1XLRL._SL75_.jpg"")",Managerial Accounting,Ray Garrison,,0073379611,9780073379616,1715,3.25,14,8
"=Image(""http://ecx.images-amazon.com/images/I/51SsL4Np43L._SL75_.jpg"")",Software Testing with Visual Studio 2010 (Microsoft .NET Development Series),Jeff Levinson,$44.99,0321734483,9780321734488,171061,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/51ssiXn4e9L._SL75_.jpg"")",Pro ASP.NET MVC 3 Framework,Steven Sanderson,$54.99,1430234040,9781430234043,901,0.0,5,0
"=Image(""http://ecx.images-amazon.com/images/I/51Edwdoj9tL._SL75_.jpg"")",Tarascon Pocket Pharmacopoeia 2011 Classic Shirt-Pocket Edition (Tarascon Pocket Pharmacopoeia: Classic Shirt-Pocket Edition),"MD, FAAEM, FACMT, Editor in Chief, Richard J. Hamilton",$16.95,0763793051,9780763793050,184,0.0,2,0
"=Image(""http://ecx.images-amazon.com/images/I/51F+vLSPUML._SL75_.jpg"")",Windows Server 2008 R2 Unleashed,Rand Morimoto,$59.99,067233092X,9780672330926,9132,4.33,13,3
"=Image(""http://ecx.images-amazon.com/images/I/41H7PmW9moL._SL75_.jpg"")",Legal Aspects of Health Care Administration,George D. Pozgar,$125.95,0763739278,9780763739270,35084,3.00,4,1
"=Image(""http://ecx.images-amazon.com/images/I/51gRq5IKL4L._SL75_.jpg"")",Adobe Photoshop CS5 for Photographers: A professional image editor's guide to the creative use of Photoshop for the Macintosh and PC,Martin Evening,$54.95,0240522001,9780240522005,1791,4.18,14,8
"=Image(""http://ecx.images-amazon.com/images/I/513PD9CKYFL._SL75_.jpg"")",UNIX Network Programming,W. Richard Stevens,$93.32,0139498761,9780139498763,405292,4.29,24,10
"=Image(""http://ecx.images-amazon.com/images/I/51B-Lg8uBUL._SL75_.jpg"")",How Computers Work (9th Edition),Ron White,$34.99,0789736136,9780789736130,13973,3.32,11,6
"=Image(""http://ecx.images-amazon.com/images/I/41qFjxWqMpL._SL75_.jpg"")",WPF 4 Unleashed,Adam Nathan,$59.99,0672331195,9780672331190,8931,4.43,21,7
"=Image(""http://ecx.images-amazon.com/images/I/51my-9V+5uL._SL75_.jpg"")",Information Technology Project Management (with Microsoft Project 2007 CD-ROM) (6th ed),Kathy Schwalbe,$116.95,0324786921,9780324786927,18783,3.77,8,4
"=Image(""http://ecx.images-amazon.com/images/I/411ftDUhCLL._SL75_.jpg"")",Windows Communication Foundation 4 Step by Step (Step by Step (Microsoft)),John Sharp,$54.99,0735645566,9780735645561,94194,5.00,1,1
"=Image(""http://ecx.images-amazon.com/images/I/51wMDg8c6kL._SL75_.jpg"")","Exploratory Software Testing: Tips, Tricks, Tours, and Techniques to Guide Test Design",James A. Whittaker,$42.99,0321636414,9780321636416,260001,3.60,10,5
"=Image(""http://ecx.images-amazon.com/images/I/51sg6oOmuML._SL75_.jpg"")","TYPO3: Enterprise Content Management: The Official TYPO3 Book, written and endorsed by the core TYPO3 Team",Daniel Hinderink,$59.99,1904811418,9781904811411,956165,2.00,6,1
"=Image(""http://ecx.images-amazon.com/images/I/51Sz15zMOvL._SL75_.jpg"")",Why Intelligence Fails: Lessons from the Iranian Revolution and the Iraq War (Cornell Studies in Security Affairs),Robert Jervis,$27.95,0801447852,9780801447853,31954,3.50,18,4
"=Image(""http://ecx.images-amazon.com/images/I/414hEZ4SSSL._SL75_.jpg"")",2009 International Building Code: Softcover Version,International Code Council,$114.00,1580017258,9781580017251,26105,2.00,2,1
"=Image(""http://ecx.images-amazon.com/images/I/21MSF2NB6YL._SL75_.jpg"")","Motorola Mc68000 Microprocessor Family: Assembly Language Interface Design and System Design, the",Thomas L. Harman,$181.80,0131587420,9780131587427,480024,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/41rxmFXOxuL._SL75_.jpg"")",Python Pocket Reference: Python in Your Pocket (Pocket Reference (O'Reilly)),Mark Lutz,$14.99,0596158084,9780596158088,48356,3.70,10,2
"=Image(""http://ecx.images-amazon.com/images/I/41yt+gULFvL._SL75_.jpg"")",A Dog's Purpose,W. Bruce Cameron,$22.99,B004TE706A,,470,,,
"=Image(""http://ecx.images-amazon.com/images/I/51VTxDk2tqL._SL75_.jpg"")",Tangled Webs: How False Statements are Undermining America: From Martha Stewart to Bernie Madoff,James B. Stewart,$29.95,1594202699,9781594202698,9075,3.26,144,23
"=Image(""http://ecx.images-amazon.com/images/I/51CffTdJzJL._SL75_.jpg"")",Saunders Comprehensive Review for the NCLEX-RN® Examination (Saunders Comprehensive Review for Nclex-Rn),Linda Anne Silvestri,$58.95,1437708250,9781437708257,342,4.00,8,3
"=Image(""http://ecx.images-amazon.com/images/I/51AWF3--mpL._SL75_.jpg"")",Test Driven Development for Embedded C (Pragmatic Programmers),James W. Grenning,$34.95,193435662X,9781934356623,73102,4.50,8,2
"=Image(""http://ecx.images-amazon.com/images/I/51oh2r9eW2L._SL75_.jpg"")",Learning SQL,Alan Beaulieu,$39.99,0596520832,9780596520830,11710,3.71,8,1
"=Image(""http://ecx.images-amazon.com/images/I/61OBa-f9MAL._SL75_.jpg"")",Chanticleer: A Pleasure Garden,Adrian Higgins,$29.95,0812242742,9780812242744,3567,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/51AKB9POUgL._SL75_.jpg"")","The Original Argument: The Federalists' Case for the Constitution, Adapted for the 21st Century",Glenn Beck,$16.00,1451650612,9781451650617,21,3.00,59,3
,The Sanford Guide to Antimicrobial Therapy 2011 (Guide to Antimicrobial Therapy (Sanford)),"David N., M.D. Gilbert",$16.75,1930808658,9781930808652,113,4.73,0,0
"=Image(""http://ecx.images-amazon.com/images/I/513lLcBmHgL._SL75_.jpg"")",A+ Guide to Managing & Maintaining Your PC,Jean Andrews,$105.95,1435497783,9781435497788,59142,4.00,8,3
"=Image(""http://ecx.images-amazon.com/images/I/51eMEVrNgDL._SL75_.jpg"")",Pablo Picasso and Marie-Therese: L'Amour Fou,,$100.00,0847837130,9780847837137,54818,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/51FOYuFW9WL._SL75_.jpg"")",VMware ESX and ESXi in the Enterprise: Planning Deployment of Virtualization Servers (2nd Edition),Edward Haletky,$49.99,0137058977,9780137058976,51712,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/51i2Vswlb+L._SL75_.jpg"")","WordPress For Dummies, 3rd Edition",Lisa Sabin-Wilson,$24.99,0470592745,9780470592748,10619,3.47,9,1
"=Image(""http://ecx.images-amazon.com/images/I/41KpX08E2PL._SL75_.jpg"")",Microsoft Project 2010: The Missing Manual,Bonnie Biafore,$39.99,1449381952,9781449381950,14006,3.00,3,1
"=Image(""http://ecx.images-amazon.com/images/I/51N4IedxmxL._SL75_.jpg"")","Wheater's Functional Histology: A Text and Colour Atlas, 5th Edition",Barbara Young BSc  Med Sci(Hons)  PhD  MB  BChir  MRCP  FRCPA,$79.95,044306850X,9780443068508,5338,4.12,23,16
"=Image(""http://ecx.images-amazon.com/images/I/51IcFS09LWL._SL75_.jpg"")",Balanced Scorecards and Operational Dashboards with Microsoft Excel,Ron Person,$49.99,0470386819,9780470386811,9598,4.00,18,2
"=Image(""http://ecx.images-amazon.com/images/I/51VcDP-DDVL._SL75_.jpg"")",Social Media Marketing All-in-One For Dummies,Jan Zimmerman,$29.99,0470584688,9780470584682,8694,3.00,15,6
"=Image(""http://ecx.images-amazon.com/images/I/415vcbuHhcL._SL75_.jpg"")",Games Criminals Play: How You Can Profit by Knowing Them,Bud Allen,$19.95,0960522603,9780960522606,16830,3.32,56,22
"=Image(""http://ecx.images-amazon.com/images/I/51VuzVxHXaL._SL75_.jpg"")","Building Android Apps with HTML, CSS, and JavaScript",Jonathan Stark,$29.99,1449383262,9781449383268,60642,4.00,12,3
"=Image(""http://ecx.images-amazon.com/images/I/41NPP4q1GSL._SL75_.jpg"")",Beginning Android Games,Mario Zechner,$39.99,1430230428,9781430230427,6831,0.0,7,0
"=Image(""http://ecx.images-amazon.com/images/I/51IrsNDDZEL._SL75_.jpg"")",Themes of Contemporary Art: Visual Art after 1980,Jean Robertson,$39.95,019536757X,9780195367577,80610,3.30,7,2
"=Image(""http://ecx.images-amazon.com/images/I/51GQ1QmehwL._SL75_.jpg"")",Search Engine Optimization (SEO) Secrets,Danny Dover,$34.99,0470554185,9780470554180,21025,4.17,16,6
"=Image(""http://ecx.images-amazon.com/images/I/41XV-0SPjPL._SL75_.jpg"")",PHP in a Nutshell: A Desktop Quick Reference,Paul Hudson,$29.95,0596100671,9780596100674,224989,3.50,50,28
"=Image(""http://ecx.images-amazon.com/images/I/41QtbF-0RoL._SL75_.jpg"")",Macroeconomics (McGraw-Hill Economics),Campbell McConnell,,0073365947,9780073365947,2763,3.18,5,2
"=Image(""http://ecx.images-amazon.com/images/I/51bpl1wA+aL._SL75_.jpg"")",You Are Not a Gadget: A Manifesto (Vintage),Jaron Lanier,$15.00,0307389979,9780307389978,1338,3.29,53,20
"=Image(""http://ecx.images-amazon.com/images/I/51I8fOvhBfL._SL75_.jpg"")",Design*Sponge at Home,Grace Bonney,$35.00,1579654312,9781579654313,1404,0.0,26,0
"=Image(""http://ecx.images-amazon.com/images/I/518WMzm+z4L._SL75_.jpg"")",Laptop Lifestyle - How to Quit Your Job and Make a Good Living on the Internet (Volume 1 - Quick Start Guide to Making Money Online),Christopher King,$9.95,0981143784,9780981143781,15087,2.00,3,1
"=Image(""http://ecx.images-amazon.com/images/I/51mnKFi+AiL._SL75_.jpg"")","Building Wireless Sensor Networks: with ZigBee, XBee, Arduino, and Processing",Robert Faludi,$34.99,0596807732,9780596807733,12428,4.00,11,1
"=Image(""http://ecx.images-amazon.com/images/I/51o0ZFTYqBL._SL75_.jpg"")",Sams Teach Yourself HTML and CSS in 24 Hours (Includes New HTML 5 Coverage) (8th Edition),Julie C. Meloni,$34.99,0672330970,9780672330971,13921,3.67,15,6
"=Image(""http://ecx.images-amazon.com/images/I/51uuI+DdplL._SL75_.jpg"")","HTML, XHTML & CSS For Dummies (For Dummies (Computer/Tech))",Ed Tittel,$29.99,0470916591,9780470916599,17244,3.30,2,1
"=Image(""http://ecx.images-amazon.com/images/I/41U20YGw45L._SL75_.jpg"")","Cost Accounting: A Managerial Emphasis, 13th Edition",Charles T. Horngren,$221.33,0136126634,9780136126638,7292,3.44,11,6
"=Image(""http://ecx.images-amazon.com/images/I/512QMFE824L._SL75_.jpg"")",C All-in-One Desk Reference For Dummies,Dan Gookin,$34.99,0764570692,9780764570698,48213,4.25,8,4
"=Image(""http://ecx.images-amazon.com/images/I/41dHhr4LQdL._SL75_.jpg"")",Web 2.0: A Strategy Guide: Business thinking and strategies behind successful Web 2.0 implementations,Amy Shuen,$24.99,0596529961,9780596529963,386613,3.23,45,13
"=Image(""http://ecx.images-amazon.com/images/I/41ajqAUS5fL._SL75_.jpg"")","Learning the UNIX Operating System, Fifth Edition",Jerry Peek,$19.99,0596002610,9780596002619,61589,3.25,22,8
"=Image(""http://ecx.images-amazon.com/images/I/41HiH1J6ObL._SL75_.jpg"")",Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,$15.00,1416543082,9781416543084,1220,3.40,197,34
"=Image(""http://ecx.images-amazon.com/images/I/51t6OkM4Z6L._SL75_.jpg"")","Best Business Practices for Photographers, Second Edition",John Harrington,$34.99,1435454294,9781435454293,14344,3.81,19,8
"=Image(""http://ecx.images-amazon.com/images/I/31CeDjXuwsL._SL75_.jpg"")",Web Analytics Strategies,Laura Paxia Giuseppe Fragola,,B002ACXS5U,,,,,
"=Image(""http://ecx.images-amazon.com/images/I/51D+rlldbCL._SL75_.jpg"")",Zend Framework in Action,Rob Allen,$44.99,1933988320,9781933988320,461626,3.18,24,11
"=Image(""http://ecx.images-amazon.com/images/I/511bIEQBsxL._SL75_.jpg"")",The Annotated Mona Lisa: A Crash Course in Art History from Prehistoric to Post-Modern,Carol Strickland,$22.99,0740768727,9780740768729,8559,4.14,25,9
"=Image(""http://ecx.images-amazon.com/images/I/51SoiYsonUL._SL75_.jpg"")","Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions (Wiley Finance)",Joshua Rosenbaum,$80.00,0470442204,9780470442203,4083,4.25,17,2
"=Image(""http://ecx.images-amazon.com/images/I/51Z5P6kCyTL._SL75_.jpg"")",LinkedIn For Dummies,Joel Elad,$24.99,047094854X,9780470948545,18929,0.0,1,0
"=Image(""http://ecx.images-amazon.com/images/I/51fi2hJ0g-L._SL75_.jpg"")",Managing Enterprise Projects Using Microsoft Project Server 2010,Gary L. Chefetz,$99.95,1934240117,9781934240113,41230,0.0,1,0
"=Image(""http://ecx.images-amazon.com/images/I/51xeaVcBsTL._SL75_.jpg"")",Systems Analysis and Design Methods,Jeffrey Whitten,,0073052337,9780073052335,54461,3.09,51,29
"=Image(""http://ecx.images-amazon.com/images/I/41lzQu9ceFL._SL75_.jpg"")",National Electrical Code 2011 (National Fire Protection Association National Electrical Code),National Fire Protection Association,$85.00,0877659141,9780877659143,2827,0.0,1,0
"=Image(""http://ecx.images-amazon.com/images/I/214riJfRe6L._SL75_.jpg"")","What Should I Do with the Rest of My Life?: True Stories of Finding Success, Passion, and New Meaning in the Second Half of Life",Bruce Frankel,$26.00,B0040RMEU8,,352584,,,
"=Image(""http://ecx.images-amazon.com/images/I/41snf3WAR2L._SL75_.jpg"")",CEH Certified Ethical Hacker Study Guide,Kimberly Graves,$49.99,0470525207,9780470525203,101730,5.00,8,1
"=Image(""http://ecx.images-amazon.com/images/I/51-86SO99gL._SL75_.jpg"")","Cracking the SAT Math 1 & 2 Subject Tests, 2011-2012 Edition (College Test Preparation)",Princeton Review,$19.99,0375428127,9780375428128,1199,0.0,0,0
"=Image(""http://ecx.images-amazon.com/images/I/517ZHJAQXHL._SL75_.jpg"")","Capacity Planning for Web Performance: Metrics, Models, and Methods",Daniel Menasce,$66.00,0136938221,9780136938224,1085956,0.0,2,0
"=Image(""http://ecx.images-amazon.com/images/I/511G5ZtyLtL._SL75_.jpg"")",Barron's SAT Writing Workbook,George Ehrenhaft,$14.99,0764142046,9780764142048,3910,3.00,1,1
"=Image(""http://ecx.images-amazon.com/images/I/519nguO5oyL._SL75_.jpg"")",Priceless: How I Went Undercover to Rescue the World's Stolen Treasures,Robert K. Wittman,$15.00,0307461483,9780307461483,1842,3.58,9,1
